f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,clase
0.000001,0.000025,-0.000295,-0.000011,-0.000019,-0.000307,0.019020,0.018995,0.019290,0.059480,0.059499,0.059806,0.002664,0.001404,0.007214,0.002616,0.001573,0.004625,1.886000,1.886000,1.884600,1.881300,1.881100,1.880300,0.041752,0.253600,-0.646690,0.015299,0.099206,-1.352000,0.000941,0.000932,0.001043,0.006664,0.006657,0.007049,-0.608160,1.567300,4.535200,-0.621890,2.651700,11.679000,-1.502700,-1.502600,-1.502100,-1.499200,-1.499300,-1.499500,4.000000
0.000000,0.000015,0.000065,0.000000,0.000020,-0.000054,0.009824,0.009809,0.009744,0.012581,0.012561,0.012616,0.001187,0.000685,0.001303,0.001223,0.000645,0.001231,1.498700,1.498700,1.498400,1.500600,1.500500,1.500400,-0.000556,-0.047741,1.194100,-0.008379,0.373370,-0.525900,0.003374,0.003360,0.003160,0.001386,0.001347,0.001374,-0.713230,7.907000,6.910000,-0.812190,2.738700,4.967500,-1.499200,-1.499200,-1.499400,-1.497300,-1.497300,-1.497200,3.000000
0.000001,0.000026,-0.000143,-0.000008,0.000065,0.000152,-0.012282,-0.012308,-0.012165,-0.039232,-0.039297,-0.039449,0.002949,0.001997,0.007217,0.002915,0.001726,0.005218,2.280400,2.280200,2.278900,2.284100,2.284000,2.283100,-0.006597,0.149140,0.157410,0.000944,0.062951,0.012099,0.007836,0.007828,0.007638,-0.014003,-0.013996,-0.014275,-0.515700,2.652700,3.433600,-0.546910,0.827030,2.423300,-1.504900,-1.505000,-1.505300,-1.491100,-1.491100,-1.490700,2.000000
0.000000,0.000020,0.000172,-0.000005,0.000057,0.000219,0.039850,0.039830,0.039658,0.073109,0.073053,0.072833,0.002128,0.001130,0.003249,0.002172,0.001088,0.003229,1.244100,1.244100,1.243600,1.239600,1.239600,1.239000,-0.005651,0.396330,0.240230,-0.014264,0.015238,0.683750,-0.009279,-0.009299,-0.009017,0.018186,0.018133,0.017992,-0.678310,3.313700,3.619500,-0.642510,-0.186310,7.244000,-1.500400,-1.500400,-1.500200,-1.503000,-1.503000,-1.503000,7.000000
-0.000010,0.000019,-0.000002,0.000002,0.000010,0.000062,-0.027413,-0.027432,-0.027430,-0.018032,-0.018042,-0.018104,0.001198,0.000728,0.001429,0.001250,0.000704,0.001643,1.575400,1.575400,1.575200,1.574200,1.574200,1.573900,0.017377,0.204460,-0.535770,-0.007681,-0.259790,0.547610,-0.002426,-0.002452,-0.002449,0.000173,0.000160,0.000018,-0.744650,13.702000,8.859700,-0.777040,9.407700,8.101400,-1.500600,-1.500600,-1.500600,-1.496800,-1.496800,-1.496700,10.000000
-0.000001,0.000000,0.000022,-0.000003,0.000003,-0.000024,0.024319,0.024319,0.024297,-0.024040,-0.024043,-0.024019,0.000786,0.000247,0.000472,0.000769,0.000239,0.000535,1.016100,1.016100,1.016100,1.016300,1.016300,1.016300,0.001345,-0.068848,0.608990,0.007179,0.308860,-0.466360,-0.002228,-0.002219,-0.002235,-0.001097,-0.001102,-0.001072,-0.657940,26.783000,5.488400,-0.610050,3.554300,3.850400,-1.498500,-1.498500,-1.498500,-1.499600,-1.499600,-1.499600,6.000000
-0.000001,0.000033,-0.000415,0.000010,0.000078,0.000179,0.007308,0.007275,0.007690,-0.020886,-0.020964,-0.021144,0.003019,0.001757,0.007592,0.002858,0.001836,0.003078,2.220200,2.220200,2.219200,2.222900,2.222800,2.222300,-0.020021,0.387740,-0.328480,-0.026672,0.427170,0.162660,-0.003896,-0.003947,-0.004499,0.014943,0.014844,0.014854,-0.489230,6.268000,3.109200,-0.505690,3.012800,1.840600,-1.503500,-1.503500,-1.503400,-1.493500,-1.493500,-1.493300,1.000000
0.000001,-0.000050,0.000064,0.000001,-0.000048,-0.000064,0.018572,0.018622,0.018558,0.067833,0.067881,0.067945,0.002197,0.001274,0.003418,0.002263,0.001125,0.003293,1.360100,1.360000,1.359600,1.365400,1.365300,1.364500,-0.004179,-0.366210,0.007220,0.028409,-0.158080,-0.114140,-0.002804,-0.002751,-0.002885,0.015291,0.015341,0.015258,-0.720260,0.812530,4.008400,-0.679240,0.006164,4.856600,-1.507000,-1.507200,-1.507300,-1.499300,-1.499400,-1.499600,4.000000
-0.000011,0.000008,-0.000285,-0.000011,-0.000084,0.000175,-0.059509,-0.059518,-0.059232,-0.174430,-0.174340,-0.174520,0.002688,0.001501,0.003497,0.002690,0.001469,0.005223,1.934600,1.934500,1.933900,1.935600,1.935500,1.934900,0.021318,0.008588,-0.866800,0.005165,-0.616130,-0.315000,-0.004999,-0.004998,-0.004823,0.001564,0.001614,0.001592,-0.499600,0.481560,4.825700,-0.548820,2.960400,5.427100,-1.500900,-1.500900,-1.500700,-1.490100,-1.490000,-1.489900,11.000000
-0.000002,-0.000024,-0.000107,-0.000003,0.000002,-0.000213,0.009900,0.009923,0.010030,0.063277,0.063274,0.063487,0.002601,0.001579,0.004900,0.002607,0.001516,0.004531,1.874700,1.874600,1.874000,1.878200,1.878000,1.877200,0.007165,0.008222,-0.918200,0.013084,0.134930,-0.566220,-0.010530,-0.010516,-0.010197,0.005261,0.005248,0.005041,-0.667590,0.956510,7.292400,-0.646230,1.690500,6.179700,-1.506200,-1.506200,-1.506300,-1.497200,-1.497200,-1.497100,4.000000
0.000012,0.000025,-0.000243,-0.000017,0.000033,0.000556,0.011865,0.011840,0.012084,0.014585,0.014552,0.013997,0.002137,0.001203,0.003381,0.002131,0.001253,0.007962,1.221400,1.221300,1.220600,1.219900,1.219800,1.218900,-0.019558,0.019762,-1.651200,0.002269,0.256450,0.894850,0.009775,0.009758,0.010053,0.004824,0.004812,0.005224,-0.714700,2.104600,16.506000,-0.729810,3.551500,12.001000,-1.495900,-1.496000,-1.496100,-1.503900,-1.503900,-1.502100,3.000000
-0.000001,0.000033,0.000005,0.000014,0.000066,0.000148,0.025897,0.025864,0.025859,-0.035440,-0.035506,-0.035654,0.002224,0.001241,0.003432,0.002275,0.001347,0.004397,1.328900,1.328800,1.328200,1.332200,1.332200,1.331300,-0.007337,0.491620,-0.171940,-0.017976,0.233100,0.068786,0.001592,0.001497,0.001304,-0.004925,-0.004996,-0.005289,-0.725410,4.958300,2.406400,-0.670390,1.815300,1.897600,-1.508800,-1.508800,-1.508100,-1.497000,-1.497000,-1.496300,1.000000
-0.000006,0.000011,0.000025,0.000001,0.000001,0.000010,0.016387,0.016377,0.016352,-0.025576,-0.025577,-0.025587,0.001123,0.000576,0.001352,0.001102,0.000488,0.000989,1.152800,1.152700,1.152500,1.156000,1.155900,1.155800,0.004386,0.037679,0.397550,-0.003988,-0.201390,0.041512,0.001711,0.001700,0.001450,-0.005485,-0.005474,-0.005559,-0.707530,8.860800,9.369400,-0.668870,1.763400,3.127800,-1.495900,-1.495900,-1.496000,-1.496200,-1.496300,-1.496300,6.000000
0.000006,-0.000000,0.000616,0.000010,0.000072,0.000000,-0.032555,-0.032555,-0.033171,-0.029434,-0.029506,-0.029506,0.002632,0.001476,0.006882,0.002559,0.001464,0.003689,1.838700,1.838500,1.837500,1.845300,1.845300,1.844600,-0.022387,-0.224590,1.371900,-0.016170,0.153210,0.010179,-0.007261,-0.007206,-0.006271,0.002800,0.002709,0.002433,-0.633080,1.644300,7.853400,-0.640520,0.684240,3.240800,-1.508200,-1.508200,-1.508400,-1.499100,-1.499200,-1.499100,2.000000
0.000001,0.000043,0.000239,-0.000007,-0.000022,0.000073,0.035429,0.035387,0.035147,0.098490,0.098512,0.098439,0.002854,0.001685,0.003674,0.002879,0.001666,0.004559,2.203200,2.203100,2.202500,2.194000,2.193900,2.193000,-0.009964,0.800180,0.651480,-0.015408,-0.434460,0.424950,-0.005407,-0.005436,-0.005637,0.003283,0.003320,0.003569,-0.536690,6.201700,4.965200,-0.533540,2.314400,4.429100,-1.499400,-1.499400,-1.499600,-1.500600,-1.500500,-1.500200,7.000000
-0.000005,-0.000020,-0.000059,-0.000019,0.000050,0.000316,0.016328,0.016347,0.016406,-0.045626,-0.045677,-0.045993,0.003055,0.001967,0.004131,0.003010,0.001904,0.008674,2.347100,2.347100,2.346700,2.352800,2.352600,2.351100,0.021370,0.283800,-0.496860,0.032964,0.494080,0.215890,0.004019,0.004026,0.004252,-0.015337,-0.015432,-0.015067,-0.514470,7.485500,4.829500,-0.530170,2.689300,3.669800,-1.503700,-1.503500,-1.503500,-1.492900,-1.493000,-1.492900,9.000000
-0.000006,-0.000037,-0.000007,-0.000005,0.000003,0.000010,-0.026764,-0.026727,-0.026719,-0.026769,-0.026772,-0.026781,0.001109,0.000791,0.000987,0.001126,0.000469,0.000874,1.185400,1.185400,1.185400,1.190800,1.190800,1.190800,0.013726,-2.968700,0.124010,-0.004662,0.025595,0.085514,0.006446,0.006504,0.006574,-0.005192,-0.005196,-0.005215,-0.674730,42.119000,9.715500,-0.691410,0.203000,3.671600,-1.496300,-1.496300,-1.496300,-1.496500,-1.496500,-1.496500,2.000000
0.000005,0.000026,-0.000004,-0.000009,-0.000056,-0.000294,0.017821,0.017795,0.017799,0.039051,0.039107,0.039401,0.002266,0.001194,0.004020,0.002248,0.001267,0.002838,1.394000,1.394000,1.393700,1.392600,1.392500,1.391800,0.000726,0.322820,0.000305,0.018790,-0.233280,-0.296840,0.009084,0.009015,0.009382,0.006617,0.006685,0.006970,-0.656620,1.379400,9.794500,-0.685550,1.021400,3.273200,-1.499100,-1.499100,-1.498800,-1.501000,-1.501000,-1.501000,4.000000
-0.000007,-0.000007,-0.000100,-0.000005,0.000005,-0.000081,0.044514,0.044520,0.044620,0.101690,0.101680,0.101760,0.002488,0.001445,0.003437,0.002498,0.001865,0.003188,1.708300,1.708200,1.707700,1.713100,1.712900,1.712400,-0.006557,-0.044038,-0.143130,-0.009058,0.266890,0.042494,0.008277,0.008286,0.008341,0.000560,0.000637,0.000746,-0.584410,0.784900,2.772200,-0.655460,5.840500,5.276500,-1.504000,-1.504000,-1.503900,-1.493100,-1.493200,-1.493100,7.000000
0.000007,0.000113,0.000154,0.000014,-0.000135,-0.000100,0.027031,0.026917,0.026764,0.106500,0.106640,0.106740,0.002916,0.001858,0.004660,0.002818,0.002159,0.005695,2.200100,2.200000,2.199700,2.198900,2.198600,2.197700,-0.020138,0.323990,0.011572,-0.011556,-2.135700,-0.694540,-0.002137,-0.002206,-0.001759,0.022385,0.022567,0.022266,-0.570260,3.117900,11.013000,-0.542720,12.748000,6.756400,-1.504200,-1.504200,-1.504100,-1.491300,-1.491500,-1.491100,7.000000
-0.000005,-0.000042,-0.000147,0.000003,-0.000012,0.000076,0.012557,0.012599,0.012746,0.009529,0.009540,0.009464,0.002226,0.001231,0.003149,0.002247,0.001140,0.002641,1.355600,1.355600,1.355600,1.356400,1.356400,1.355900,0.026450,-0.138200,-1.252500,0.002701,-0.097291,0.717770,-0.009078,-0.009036,-0.009091,-0.001194,-0.001211,-0.001252,-0.693120,2.039600,10.760000,-0.713490,0.807360,11.244000,-1.500100,-1.500100,-1.499700,-1.501000,-1.501000,-1.501100,5.000000
0.000002,-0.000008,0.000156,-0.000002,-0.000017,-0.000138,0.029883,0.029892,0.029736,0.113180,0.113190,0.113330,0.002497,0.001546,0.005676,0.002508,0.001394,0.003187,1.710400,1.710400,1.709100,1.716500,1.716500,1.715900,-0.020554,-0.020155,-0.222870,-0.018621,-0.055284,-0.288610,-0.007843,-0.007822,-0.008110,0.018504,0.018476,0.018388,-0.623940,2.036300,7.471800,-0.680470,1.675300,3.806100,-1.505300,-1.505300,-1.505600,-1.498800,-1.498900,-1.498700,7.000000
0.000002,-0.000007,-0.000004,-0.000001,0.000006,-0.000001,0.004711,0.004719,0.004723,-0.046895,-0.046901,-0.046900,0.000814,0.000459,0.000538,0.000816,0.000338,0.000550,1.853700,1.853700,1.853700,1.851500,1.851500,1.851500,-0.011487,-3.164100,-0.245890,-0.007032,1.248200,0.106300,-0.000305,-0.000292,-0.000274,0.000776,0.000769,0.000761,-0.503250,92.770000,7.131600,-0.431210,31.543000,7.132900,-1.496800,-1.496800,-1.496800,-1.499100,-1.499100,-1.499100,9.000000
-0.000003,0.000026,0.000036,0.000011,0.000097,-0.000183,0.004019,0.003993,0.003957,-0.013576,-0.013673,-0.013491,0.002938,0.001723,0.003889,0.002871,0.002048,0.003751,2.253900,2.253900,2.253000,2.254700,2.254500,2.254100,-0.008297,0.363140,0.531290,-0.027947,0.520250,-0.274020,-0.004917,-0.004907,-0.005081,0.014335,0.014289,0.014199,-0.523340,3.366200,2.735700,-0.506330,7.201500,2.619200,-1.502700,-1.502700,-1.502400,-1.490600,-1.490500,-1.490500,6.000000
-0.000004,-0.000093,-0.000186,-0.000003,0.000056,0.000308,0.015251,0.015345,0.015530,-0.019698,-0.019754,-0.020062,0.002623,0.001649,0.004096,0.002572,0.001657,0.007165,1.869900,1.869800,1.869400,1.861900,1.861900,1.860700,-0.003743,-0.599460,-0.522010,0.025064,1.673700,0.067632,0.011622,0.011718,0.011576,0.001942,0.001940,0.002602,-0.658910,4.570800,7.213100,-0.657580,12.118000,7.617800,-1.497000,-1.497000,-1.497100,-1.501500,-1.501500,-1.500800,9.000000
-0.000006,0.000010,0.000142,0.000013,0.000014,0.000340,0.014952,0.014942,0.014800,-0.017729,-0.017743,-0.018083,0.003004,0.001732,0.004523,0.002874,0.001806,0.008510,2.221900,2.221800,2.221100,2.223500,2.223400,2.222300,-0.030895,0.267210,0.368510,-0.012992,0.653200,0.102450,-0.002644,-0.002629,-0.002456,0.010914,0.010863,0.010659,-0.510800,4.093600,2.923000,-0.530760,3.619000,8.011600,-1.507200,-1.507200,-1.507200,-1.497700,-1.497800,-1.497400,1.000000
0.000022,-0.000030,0.000044,-0.000021,-0.000022,0.000088,0.011595,0.011625,0.011580,0.045071,0.045093,0.045006,0.002265,0.001216,0.002482,0.002279,0.001184,0.003161,1.393000,1.393000,1.392500,1.394000,1.393900,1.393500,0.007148,-0.179140,-0.100350,0.021298,-0.104010,-0.101600,0.010743,0.010764,0.011012,0.010210,0.010224,0.010249,-0.704170,0.664980,1.846100,-0.729370,0.664720,8.678300,-1.495500,-1.495600,-1.495400,-1.503700,-1.503700,-1.503300,4.000000
0.000007,-0.000011,-0.000175,0.000006,0.000009,0.000456,0.007224,0.007234,0.007409,-0.020238,-0.020247,-0.020703,0.002601,0.001589,0.004414,0.002626,0.001400,0.007790,1.891200,1.891100,1.890600,1.886100,1.886000,1.884700,0.001984,-0.305950,-0.387250,-0.025984,0.091112,0.387910,-0.008822,-0.008755,-0.008951,0.000963,0.000924,0.001524,-0.630200,1.930400,11.451000,-0.603300,0.547280,10.625000,-1.497700,-1.497700,-1.497600,-1.501300,-1.501300,-1.500600,6.000000
0.000003,-0.000003,0.000055,0.000003,-0.000007,0.000007,0.017923,0.017926,0.017872,0.021111,0.021118,0.021111,0.001144,0.000488,0.001470,0.001085,0.000566,0.002134,1.177000,1.177000,1.176900,1.175900,1.175900,1.175500,0.006195,-0.036546,2.381600,0.007303,-0.541310,-0.080457,0.005400,0.005404,0.005229,0.002465,0.002492,0.002668,-0.720900,1.762300,19.060000,-0.641100,9.923600,7.480900,-1.498900,-1.498900,-1.498700,-1.499100,-1.499100,-1.499000,5.000000
0.000001,-0.000001,0.000332,-0.000002,0.000013,0.000080,0.018507,0.018508,0.018176,-0.033086,-0.033099,-0.033179,0.002250,0.001173,0.003547,0.002172,0.001280,0.002211,1.300400,1.300400,1.300100,1.306600,1.306600,1.306300,-0.015937,0.049635,1.264300,-0.017220,0.033209,0.395050,-0.008950,-0.008945,-0.008463,0.010732,0.010730,0.010650,-0.691650,0.880960,8.611600,-0.679580,2.354900,3.603700,-1.503700,-1.503700,-1.503500,-1.493800,-1.493900,-1.493700,1.000000
-0.000005,0.000026,0.000039,-0.000006,0.000029,0.000067,0.014380,0.014354,0.014315,-0.038582,-0.038611,-0.038678,0.001416,0.000894,0.002551,0.001451,0.000785,0.001407,2.149300,2.149200,2.149100,2.146900,2.146900,2.146700,-0.000087,0.204380,1.329300,0.011056,0.204600,0.185440,0.003172,0.003152,0.003058,-0.000142,-0.000160,-0.000259,-0.819970,6.732300,10.843000,-0.861440,4.536000,6.992900,-1.500900,-1.501000,-1.500900,-1.498100,-1.498100,-1.498100,6.000000
-0.000003,0.000006,0.000008,0.000003,0.000029,0.000003,-0.034613,-0.034619,-0.034627,-0.021890,-0.021919,-0.021922,0.001350,0.000786,0.001998,0.001410,0.000970,0.002620,2.070100,2.070000,2.069800,2.068000,2.067900,2.067500,-0.001466,0.324130,-0.212510,-0.007651,0.359430,0.672170,-0.003929,-0.003944,-0.003995,-0.000634,-0.000652,-0.000553,-0.828680,5.871600,11.771000,-0.851990,11.334000,11.669000,-1.501900,-1.501900,-1.501900,-1.497200,-1.497200,-1.497300,10.000000
-0.000022,-0.000058,-0.000222,0.000013,0.000038,0.000162,-0.126350,-0.126290,-0.126070,-0.145090,-0.145120,-0.145290,0.002233,0.001268,0.003914,0.002235,0.001202,0.003809,1.375900,1.375800,1.375200,1.377000,1.376900,1.376300,0.029373,-0.301110,-0.373490,0.004600,0.023306,0.915540,0.007599,0.007679,0.007801,-0.019641,-0.019658,-0.019314,-0.646920,2.893200,6.540200,-0.735550,1.411600,5.938700,-1.498700,-1.498700,-1.498400,-1.502700,-1.502700,-1.503000,11.000000
-0.000011,0.000007,-0.000474,0.000002,-0.000051,-0.000420,-0.061214,-0.061221,-0.060747,-0.204960,-0.204910,-0.204490,0.002925,0.001809,0.006798,0.002948,0.001838,0.005971,2.294900,2.294800,2.293500,2.298200,2.298100,2.297000,0.034791,0.027318,-0.861140,0.018685,-0.294930,-0.543760,0.000533,0.000550,0.000163,-0.018147,-0.018135,-0.017496,-0.509180,1.741200,6.024900,-0.513910,2.413500,7.515700,-1.505800,-1.505800,-1.505600,-1.498300,-1.498300,-1.498600,11.000000
0.000001,-0.000000,0.000008,-0.000001,-0.000007,-0.000003,0.021103,0.021103,0.021096,0.020007,0.020014,0.020017,0.001134,0.000530,0.000726,0.001132,0.000571,0.000999,1.191200,1.191200,1.191100,1.189100,1.189100,1.189000,0.004722,0.278510,0.696860,0.008697,-0.177400,0.160810,0.001663,0.001669,0.001665,0.002614,0.002607,0.002696,-0.704880,3.731800,7.209100,-0.709870,3.934400,4.797100,-1.498300,-1.498300,-1.498400,-1.499900,-1.499800,-1.499800,5.000000
0.000000,0.000000,-0.000006,0.000010,-0.000002,0.000044,0.033464,0.033464,0.033470,0.024906,0.024908,0.024864,0.001149,0.000549,0.001013,0.001123,0.000531,0.001128,1.240700,1.240700,1.240500,1.236800,1.236800,1.236600,0.007196,0.058511,-0.025680,-0.015226,-0.022011,1.069000,0.004648,0.004640,0.004685,0.000826,0.000834,0.000791,-0.763620,2.181900,3.922400,-0.660900,1.864000,7.400600,-1.497800,-1.497800,-1.497700,-1.497700,-1.497700,-1.497700,8.000000
-0.000000,0.000015,-0.000174,-0.000011,-0.000071,0.000367,0.027742,0.027727,0.027901,0.016074,0.016144,0.015777,0.002230,0.001199,0.004434,0.002200,0.001225,0.003456,1.337300,1.337200,1.336300,1.331800,1.331800,1.331600,0.006430,0.165030,-2.272700,0.027210,-0.060976,2.246100,0.008708,0.008662,0.008736,0.003334,0.003381,0.003117,-0.688180,0.938220,20.904000,-0.691770,1.370600,11.825000,-1.502900,-1.502900,-1.503100,-1.499400,-1.499400,-1.499200,5.000000
-0.000019,-0.000027,0.000016,-0.000015,-0.000023,0.000249,0.036505,0.036532,0.036516,0.022754,0.022778,0.022528,0.002635,0.001549,0.004015,0.002601,0.001499,0.006184,1.857000,1.856800,1.856500,1.857600,1.857500,1.856700,0.016419,-0.016099,-0.542400,0.035252,-0.051734,0.939020,0.006541,0.006528,0.006529,-0.015056,-0.015035,-0.015363,-0.589780,1.092000,9.316400,-0.629000,0.951100,12.959000,-1.505300,-1.505400,-1.505100,-1.491900,-1.491900,-1.492000,8.000000
0.000008,0.000043,0.000429,-0.000008,0.000127,0.000350,0.017114,0.017071,0.016641,-0.020509,-0.020636,-0.020986,0.002900,0.001933,0.006577,0.002884,0.001720,0.006484,2.229700,2.229600,2.229300,2.226500,2.226400,2.225200,-0.017420,0.118670,2.429300,-0.000823,0.837190,0.953770,0.004257,0.004260,0.005273,0.010132,0.010090,0.010350,-0.562950,4.163800,16.007000,-0.476580,3.279900,7.111400,-1.506800,-1.506700,-1.506800,-1.498200,-1.498200,-1.497800,1.000000
-0.000004,0.000012,0.000150,-0.000004,0.000026,0.000218,0.018956,0.018944,0.018794,-0.018316,-0.018342,-0.018561,0.001268,0.000690,0.002292,0.001195,0.000663,0.002252,1.621800,1.621800,1.621500,1.620100,1.620100,1.620000,0.007025,0.075762,0.473150,0.005815,0.531300,1.985500,0.003791,0.003780,0.003594,-0.001688,-0.001728,-0.002048,-0.772880,5.649700,12.727000,-0.739170,4.770000,16.802000,-1.498600,-1.498500,-1.498500,-1.498600,-1.498600,-1.498500,6.000000
0.000004,-0.000013,0.000104,0.000000,0.000021,0.000089,0.012999,0.013012,0.012908,0.012397,0.012376,0.012287,0.002435,0.001573,0.005843,0.002488,0.001465,0.003913,1.713100,1.712900,1.712200,1.705900,1.705800,1.705200,-0.007195,-0.016501,0.422150,0.005441,-0.045475,0.092052,0.016279,0.016326,0.016067,0.009291,0.009309,0.009459,-0.654610,1.397900,6.001800,-0.617410,1.911400,5.557200,-1.497000,-1.497100,-1.496700,-1.501500,-1.501600,-1.501400,3.000000
-0.000002,-0.000054,-0.000308,-0.000006,-0.000085,-0.000280,0.052950,0.053003,0.053311,0.009113,0.009198,0.009477,0.002568,0.001552,0.004223,0.002613,0.001562,0.007102,1.851900,1.851800,1.851000,1.861800,1.861700,1.860700,0.013270,-0.164680,-1.155800,0.010626,-0.230050,-0.373210,-0.005311,-0.005259,-0.005304,-0.001352,-0.001302,-0.001500,-0.625070,1.405400,8.713200,-0.635050,1.195400,7.787700,-1.505400,-1.505400,-1.505300,-1.499200,-1.499200,-1.498500,8.000000
